Building,Date,Time,Specific Location,Number of Macs,Number of Windows
JMSB,2025-10-20,09:30,JMSB Open Study Area,4,2
JMSB,2025-10-20,14:15,JMSB 2nd Floor,3,4
JMSB,2025-10-22,09:15,JMSB Open Study Area,6,2
JMSB,2025-10-22,11:50,JMSB 2nd Floor,3,5
JMSB,2025-10-23,14:00,JMSB Open Study Area,7,3
JMSB,2025-10-24,11:00,JMSB 2nd Floor,4,2
Hall Building,2025-10-20,10:00,Hall Ground Floor,2,5
Hall Building,2025-10-20,13:45,Hall 8th Floor,1,4
Hall Building,2025-10-22,10:15,Hall Ground Floor,3,5
Hall Building,2025-10-23,09:45,Hall 8th Floor,2,5
Hall Building,2025-10-24,10:45,Hall Ground Floor,2,4
Hall Building,2025-10-24,14:30,Hall 8th Floor,4,5
